"nome_congresso","sigla_congresso","estrato_qualis"
"SoCG - International Symposium on Computational Geometry","COMPGEOM","A2"
"CompIMAGE - International Symposium CompIMAGE","COMPIMAGE","B3"
"COMPSAC - Annual International Computers, Software & Applications Conference","COMPSAC","A2"
"COMSNETS - International Conference on COMmunication Systems & NETworkS","COMSNETS","A2"
"COMSOC - International Workshop on Computational Social Choice","COMSOC","B5"
"CONCUR - International Conference on Concurrency Theory","CONCUR","A2"
"CONEXT - Conference on Emerging Network Experiment and Technology","CONEXT","A1"
"CONFIRM - International Conference on Information Resources Management","CONFIRM","B4"
"CONTECSI - International Conference on Information Systems and Technology Management","CONTECSI","B4"
"CONTEXT-BPM - International Workshop on Context for Business Process Management","CONTEXT-BPM","B5"
"CORAL - International Workshop on Emerging COgnitive Radio Applications and aLgorithms","CORAL","B4"
"COSN - Conference on Online Social Networks","COSN","B2"
"COTB - Computer on The Beach","COTB","B4"
"CP - International Conference on Principles and Practice of Constraint Programming","CP","A2"
"CPA - Communicating Process Architectures","CPA","B5"
"CPM - Annual Symposium on Combinatorial Pattern Matching","CPM","B1"
"CRIWG - International Conference on Collaboration and Technology","CRIWG","B3"
"CSC - SIAM Workshop on Combinatorial Scientific Computing","CSC","B4"
"CSCL - International Conference on Computer Supported Collaborative Learning","CSCL","B5"
"CSCW - ACM Conference on Computer Supported Cooperative Work & Social Computing","CSCW","A1"
"CSC - International Conference on Scientific Computing","CSCWC","B5"
"CSCWD - IEEE International Conference on Computer Supported Cooperative Work in Design","CSCWD","B1"
"ISC - Information Security Conference","ISW","B2"
"CSE - International Conference on Computational Science and Engineering","CSE","B1"
"CSEDU - International Conference on Computer Supported Education","CSEDU","B1"
"CSEE&T - Conference on Software Engineering Education and Training","CSEE&T","B1"
"CSF - IEEE Computer Security Foundations Symposium","CSF","A2"
"CSI-SE - International Workshop on Crowdsourcing in Software Engineering","CSI-SE","B4"
"CSMR - European Conference on Software Maintenance and Reengineering","CSMR","A2"
"CSNDSP - International Symposium on Communication Systems, Networks and Digital Signal Processing","CSNDSP","B1"
"CT-RSA - RSA Conference Cryptographers Track","CT-RSA","A2"
"CVPR - IEEE Conference on Computer Vision and Pattern Recognition","CVPR","A1"
"CVPRW - IEEE Conference on Computer Vision and Pattern Recognition Workshops","CVPRW","B4"
"CloudCom - IEEE International Conference on Cloud Computing Technology and Science","CloudCom","A1"
"CloudNet - IEEE International Conference on Cloud Networking","CloudNet","B1"
"CobRA - International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures","CobRA","B5"
"CogSIMA - IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support","CogSIMA","B1"
"CompSysTech - International Conference on Computer Systems and Technologies","CompSysTech","B2"
"CoopIS - International Conference on Cooperative Information Systems","CoopIS","A2"
"DAC - Design Automation Conference","DAC","A1"
"DAIS - International Conference on Distributed Applications and Interoperable Systems","DAIS","B2"
"DARS - International Symposium on Distributed Autonomous Robotic Systems","DARS","B2"
"DAS - International Workshop on Document Analysis Systems","DAS","B1"
"DATAANALYTICS - IARIA International Conference on Data Analytics","DATAANALYTICS-IARIA","B5"
"DATE - Design, Automation and Test in Europe Conference and Exhibition","DATE","A1"
"DaWaK - International Conference on Big Data Analytics and Knowledge Discovery","DAWAK","B1"
