"nome_congresso","sigla_congresso","estrato_qualis"
"MOBIHOC - ACM International Symposium on Mobile Ad Hoc Networking and Computing","MOBIHOC","A2"
"MOBILECLOUD - International Conference on Mobile Cloud, Computing and Service Engineering","MOBILECLOUD","B2"
"MOBILEHCI - International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct","MOBILEHCI","A1"
"MOBILEHCIW - International Conference on Human-Computer Interaction with Mobile Devices and Services Workshops","MOBILEHCIW","B4"
"MOBILESOFT - International Conference on Mobile Software Engineering and Systems","MOBILESOFT","B2"
"MOBILWARE - International Conference on MOBILe Wireless MiddleWARE, Operating Systems, and Applications","MOBILWARE","B3"
"MobiQuitous - International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","MOBIQUITOUS","B1"
"MOBIWAC - ACM International Symposium on Mobility Management and Wireless Access","MOBIWAC","B2"
"MOCRYSEN - International Workshop on Modern Cryptography and Security Engineering","MOCRYSEN","B4"
"MODELS - International Conference on Model Driven Engineering Languages and Systems","MODELS","A2"
"MODELSWARD - International Conference on Model-Driven Engineering and Software Development","MODELSWARD","B2"
"MODULARITY - International Conference on Modularity","MODULARITY","A2"
"MODULARITYW - International Conference on Modularity Workshops","MODULARITYW","B4"
"MPPU - Models and Paradigms for Planning under Uncertainty: a Broad Perspective Workshop","MPPU","B4"
"MS - IEEE International Conference on Mobile Services","MS","B2"
"MSSUW - IEEE MS Special Track on Services for the Ubiquitous Web","MS-ST","B5"
"MSI - International Conference on Modelling, Simulation and Identification","MSI","B5"
"MSN - International Conference on Mobile Ad-Hoc and Sensor Networks","MSN","B2"
"MSR - Working Conference on Mining Software Repositories","MSR","A1"
"MSST - IEEE Symposium on Mass Storage Systems and Technologies","MSST","A2"
"MSV - International Conference on Modeling, Simulation and Visualization Methods","MSVWC","B5"
"MSWiM - ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems","MSWIM","B1"
"MTD - International Workshop on Managing Technical Debt","MTD","B4"
"MTSR - International Conference on Metadata and Semantics Research","MTSR","B2"
"MUCS - IEEE Workshop on Managing Ubiquitous Communications and Services","MUCS","B4"
"MULTIPROG - Workshop on Programmability Issues for Heterogeneous Multicore","MULTIPROG","B4"
"MUM - International Conference on Mobile and Ubiquitous Multimedia","MUM","B1"
"MWAIL - ICAIL Multi-Lingual Workshop on AI & Law","MWAIL","B4"
"MWE - Workshop on Multiword Expressions","MWE","B4"
"MWSCAS - International Midwest Symposium on Circuits and Systems","MWSCAS","B1"
"Matheuristics - International Workshop on Model-based metaheuristics","Matheuristics","B5"
"MetaSel - International Workshop on Meta-Learning and Algorithm Selection","MetaSel","B4"
"MoWNeT - International Conference on Selected Topics in Mobile and Wireless Networking","MoWNeT","B5"
"MobiArch - Workshop on Mobility in the Evolving Internet Architecture","MobiArch","B4"
"NaBIC - World Congress on Nature and Biologically Inspired Computing","NABIC","B2"
"NAFIPS - Annual Conference of the North American Fuzzy Information Processing Society","NAFIPS","B2"
"NCA - IEEE International Symposium on Network Computing and Applications","NCA","B1"
"NESY@HLAI - Workshop on Neural-Symbolic Learning and Reasoning","NESY@HLAI","B4"
"Networking - IFIP Networking Conference","NETWORKING","A2"
"NETWORKS - International Telecommunications Network Strategy and Planning Symposium","NETWORKS","B3"
"NEW2AN - International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems","NEW2AN","B2"
"NEWCAS - IEEE International New Circuits and Systems Conference","NEWCAS","B1"
"NEWSIR - International Workshop on Recent Trends in News Information Retrieval","NEWSIR","B4"
"NFM - NASA Formal Methods Symposium","NFM","A2"
"NFV-SDN - IEEE Conference on Network Function Virtualization and Software Defined Networks","NFV-SDN","B2"
"NFMCP - International Workshop on New Frontiers in Mining Complex Patterns","NFmcp","B4"
"NIDISC - International Workshop on Nature Inspired Distributed Computing","NIDISC","B4"
"NIME - International Conference on New Interfaces for Musical Expression","NIME","B1"
"NLDB - International Conference on Application of Natural Language to Information Systems","NLDB","B1"
"NLPCS - International Workshop on Natural Language Processing and Cognitive Science","NLPCS","B5"
"NOF - International Conference on Network of the Future","NOF","B2"
"NOMS - IEEE/IFIP Network Operations and Management Symposium","NOMS","A2"
"NRW - Asia Pacific Advanced Network Research Workshop","NRW","B5"
"NSDI - Networked Systems Design and Implementation","NSDI","A1"
"NTMS - IFIP International Conference on New Technologies, Mobility and Security","NTMS","B1"
"NordiCHI - Nordic Conference on Human-Computer Interaction","NordiCHI","B1"
"OFC - IEEE Optical Fiber Communication Conference","OFC","B1"
"OM - International Workshop on Ontology Matching","OM","A2"
"ONTOBRAS - Brazilian Seminar on Ontologies","ONTOBRAS","B3"
"OOPSLA - Conference on Object-Oriented Programming Systems, Languages, and Applications","OOPSLA","A1"
"OPODIS - International Conference on Principles of Distributed Systems","OPODIS","B1"
"OR - International Conference on Operations Research","OR","B2"
"OSS - International Conference on Open Source Systems","OSS","B2"
"OzCHI - Australian Conference on Human-Computer Interaction","OzCHI","B1"
"P2P - International Conference on Peer-to-Peer Computing","P2P","B1"
"PAAMS - International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability","PAAMS","B1"
"PAAMSW - International Workshops of Practical Applications of Agents, Multi-Agent Systems, and Sustainability","PAAMSW","B5"
"PACIS - Pacific Asia Conference on Information Systems","PACIS","B1"
"PACT - International Conference on Parallel Computing Technologies","PACT","B1"
"PACT - International Conference on Parallel Architectures and Compilation Techniques","PACTT","A1"
"PADS - ACM SIGSIM Conference on Principles of Advanced Discrete Simulation","PADS","B1"
"PAKDD - Pacific-Asia Conference on Knowledge Discovery and Data Mining","PAKDD","A2"
"PAM - Passive and Active Network Measurement Conference","PAM","A2"
"PATAT - International Conference on the Practice and Theory of Automated Timetabling","PATAT","B5"
"PATMOS - International Workshop on Power and Timing Modeling, Optimization and Simulation","PATMOS","B3"
"PATTERNS - International Conferences on Pervasive Patterns and Applications","PATTERNS","B5"
"PCS - Picture Coding Symposium","PCS","B1"
"PDCAT - International Conference on Parallel and Distributed Computing, Applications and Technologies","PDCAT","B1"
"PDES - IFAC International Conference on Programmable Devices and Embedded Systems","PDES","B2"
"PDP - Euromicro International Conference on Parallel, Distributed and Network-Based Processing","PDP","A2"
"PDPTA - International Conference on Parallel and Distributed Processing Techniques and Applications","PDPTAWC","B5"
"PE-WASUM - ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks","PE-WASUN","B2"
"PERCOM - International Conference on Pervasive Computing and Communications","PERCOM","A1"
"PESGM - IEEE Power & Energy Society General Meeting","PESGM","B1"
"PESOS - International Workshop on Principles of Engineering Service-Oriented and Cloud Systems","PESOS","B4"
"PETRA - ACM International Conference on PErvasive Technologies Related to Assistive Environments","PETRA","B1"
"PGM - International Conference on Probabilistic Graphical Models","PGM","B3"
"PIMRC - International Symposium on Personal, Indoor and Mobile Radio Communications","PIMRC","A1"
"PLATEAU - Workshop on Evaluation and Usability of Programming Languages and Tools","PLATEAU","B4"
"PLDI - SIGPLAN Conference on Programming Language Design and Implementation","PLDI","A1"
"PLOP - Conference on Pattern Languages of Programs","PLOP","B2"
"PLP - International Workshop on Probabilistic Programming","PLP","B5"
"POPL - Symposium on Principles of Programming Languages","POPL","A1"
"POST - International Conference on Principles of Security and Trust","POST","B2"
"PPDP - International Symposium on Principles and Practice of Declarative Programming","PPDP","B1"
"PPNIV - Workshop on Planning, Perception and Navigation for Intelligent Vehicles","PPNIV","B4"
"PPoPP - ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming","PPOPP","A1"
"PPSN - International Conference on Parallel Problem Solving from Nature","PPSN","B1"
"PRDC - Pacific Rim International Symposium on Dependable Computing","PRDC","B1"
"PRIB - IAPR International Conference on Pattern Recognition in Bioinformatics","PRIB","B2"
"PRIMA - International Conference on Principles and Practice of Multi-Agent Systems","PRIMA","B2"
"PROFES - International Conference on Product-Focused Software Process Improvement","PROFES","B1"
"PROMISE - International Conference on Predictive Models and Data Analytics in Software Engineering","PROMISE","B2"
"PROPOR - International Conference on Computational Processing of the Portuguese Language","PROPOR","B3"
"PSCC - Power Systems Computation Conference","PSCC","B2"
"PST - International Conference on Privacy, Security and Trust","PST","B1"
"PacificVis - IEEE Pacific Visualization Symposium","PacificVis","A2"
"ParCO - International Conference on Parallel Computing","ParCO","B1"
"PerCol - International Workshop on Pervasive Collaboration and Social Networking","PerCol","B4"
"PerComW - IEEE International Conference on Pervasive Computing and Communication Workshops","PerComW","B4"
"PoEM - IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling","PoEM","B5"
"Q2SWinet - ACM Symposium on QoS and Security for Wireless and Mobile Networks","Q2SWinet","B2"
"QEST - International Conference on Quantitative Evaluation of Systems","QEST","B1"
"QMMQ - Quality of Models and Models of Quality Workshop","QMMQ","B5"
"QRS - IEEE International Conference on Software Quality, Reliability and Security","QRS","B3"
"QRSW - IEEE International Conference on Software Quality, Reliability and Security Companion","QRSW","B5"
"QUATIC - International Conference on Quality of Information and Communications Technology","QUATIC","B2"
"QoMEX - International Workshop on Quality of Multimedia Experience","QoMEX","B1"
"QoSA - International ACM Sigsoft Conference on the Quality of Software Architectures","QoSA","B2"
"RACS - Conference on Research in Adaptive and Convergent Systems","RACS","B2"
"RADECS - European Conference on Radiation Effects on Components and Systems","RADECS","B3"
"RAHA - IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications","RAHA","B4"
"RAMS - Annual Reliability and Maintainability Symposium","RAMS","B1"
"RANLP - International Conference on Recent Advances in Natural Language Processing","RANLP","B1"
"RCIS - International Conference on Research Challenges in Information Science","RCIS","B1"
"RE - IEEE International Requirements Engineering Conference","RE","A2"
"RECOMB - International Conference on Research in Computational Molecular Biology","RECOMB","A2"
"RECONFIG - International Conference on Reconfigurable Computing and FPGAs","RECONFIG","B1"
"RECOSOC - International Symposium on Reconfigurable Communication-centric Systems-on-Chip","RECOSOC","B1"
"RecSYS - ACM Conference on Recommender Systems","RECSYS","A1"
"REFSQ - International Working Conference on Requirements Engineering: Foundations for Software Quality","REFSQ","B1"
"RELAW - International Workshop on Requirements Engineering and Law","RELAW","B4"
"REM - Workshop on Reactivity, Events and Modularity","REM","B5"
"RESER - International Workshop on Replication in Empirical Software Engineering Research","RESER","B5"
"RFID - IEEE International Conference on RFID","RFID","B1"
"RoboCup - Robocup International Symposium","ROBOCUP","B1"
"ROSE - IEEE International Symposium on Robotic and Sensors Environments","ROSE","B2"
"RSP - IEEE International Symposium on Rapid System Prototyping","RSP","B2"
"RTCSA - International Conference on Embedded and Real-Time Computing Systems and Applications","RTCSA","B1"
"RTSS - Real-Time Systems Symposium","RTSS","A2"
"ruSMART - Conference on Internet of Things and Smart Spaces","RUSMART","B2"
"RePa - IEEE International Workshop on Requirements Patterns","RePa","B4"
"RuleML - International Web Rule Symposium","RuleML","B1"
"SACCONET - International Conference on Smart Communications in Network Technologies","SACCONET","B5"
"SACI - IEEE International Symposium on Applied Computational Intelligence and Informatics","SACI","B1"
"SAC - Workshop on Selected Areas in Cryptography","SACRYPT","A2"
"SAFECOMP - International Conference on Computer Safety, Reliability, and Security","SAFECOMP","B1"
"SAICC - Science and Information Conference","SAICC","B3"
"SAM - Sensor Array and Multichannel Signal Processing Workshop","SAM","B3"
"SAMOS - International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation","SAMOS","B1"
"SAM - International Conference on Security and Management","SAMWC","B5"
"TISE - Congreso Internacional de Informática Educativa","TISE","B5"
"SANER - IEEE International Conference on Software Analysis, Evolution and Reengineering","SANER","A2"
"SAS - IEEE Sensors Applications Symposium","SAS","B1"
"SASO - International Conference on Self-Adaptive and Self-Organizing Systems","SASO","B1"
"SAST - Brazilian Workshop on Systematic and Automated Software Testing","SAST","B5"
"SAT - International Conference on Theory and Applications of Satisfiability Testing","SAT","A2"
"SBAC-PAD - International Symposium on Computer Architecture and High Performance Computing","SBAC-PAD","B1"
"SBACPADW - International Symposium on Computer Architecture and High Performance Computing Workshop","SBACPADW","B4"
"SBAI - Simpósio Brasileiro de Automação Inteligente","SBAI","B5"
"SBBD - Simpósio Brasileiro de Banco de Dados","SBBD","B2"
"SBCARS - Brazilian Symposium on Components, Architectures and Reuse Software","SBCARS","B3"
"SBCCI - Symposium on Integrated Circuits and Systems Design","SBCCI","B2"
"SBCM - Simpósio Brasileiro de Computação Musical","SBCM","B3"
"SBCUP - Simpósio Brasileiro de Computação Ubíqua e Pervasiva","SBCUP","B4"
"SBES - Brazilian Symposium on Software Engineering","SBES","B2"
"SBESC - Brazilian Symposium on Computing System Engineering","SBESC","B2"
"SBGames - Simpósio Brasileiro de Jogos e Entretenimento Digital","SBGAMES","B2"
"SBIA - Brazilian Symposium on Artificial Intelligence","SBIA","B2"
"SBIAGRO - Congresso Brasileiro de Agroinformática","SBIAGRO","B5"
"SBIE - Simpósio Brasileiro de Informática na Educação","SBIE","B1"
"SBLP - Brazilian Symposium on Programming Languages","SBLP","B3"
"SBMF - Brazilian Symposium on Formal Methods","SBMF","B3"
"SBMicro - Symposium on Microelectronics Technology and Devices","SBMICRO","B4"
"SBPO - Simpósio Brasileiro de Pesquisa Operacional","SBPO","B4"
"SBQS - Simpósio Brasileiro de Qualidade de Software","SBQS","B3"
"SBRC - Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos","SBRC","B2"
"SBSC - Simpósio Brasileiro de Sistemas Colaborativos","SBSC","B3"
"SBSI - Simpósio Brasileiro de Sistemas de Informação","SBSI","B2"
"SBST - International Workshop on Search-Based Software Testing","SBST","B4"
"SBSeg - Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais","SBSeg","B3"
"SC - International Conference for High Performance Computing, Networking, Storage and Analysis","SC","A1"
"SCAM - IEEE International Working Conference on Source Code Analysis and Manipulation","SCAM","B1"
"SCCC - International Conference of the Chilean Computer Science Society","SCCC","B3"
"SCCTSA - International Workshop on Smart City Clouds: Technologies, Systems and Applications","SCCTSA","B4"
"SCGSE - Workshop on Software Support for Collaborative and Global Software Engineering","SCGSE","B4"
"SCSC - Summer Computer Simulation Conference","SCSC","B5"
"SCSM - International Conference on Social Computing and Social Media","SCSM","B2"
"SCSS - International Symposium on Symbolic Computation in Software Science","SCSS","B4"
"SDH - International Symposium on Spatial Data Handling","SDH","B5"
"SDE - IEEE Symposium on Differential Evolution","SDIEV","B4"
"SDL - Symposium on Dynamic Languages","SDL","B2"
"SDM - SIAM International Conference on Data Mining","SDM","A1"
"SEA - International Symposium on Experimental Algorithms","SEA","A2"
"SEAMS - International Symposium on Software Engineering for Adaptive and Self-Managing Systems","SEAMS","A2"
"SEARIS - Workshop on Software Engineering and Architectures for Realtime Interactive Systems","SEARIS","B4"
"SEAWAVE - Workshop on Seamless Adaptive Multi-cloud Management of Service-based Applications","SEAWAVE","B5"
"SEC - International Conference on ICT Systems Security and Privacy Protection","SEC","B1"
"SECURWARE - IARIA International Conference on Emerging Security Information, Systems and Technologies","SECURWARE-IARIA","B5"
"SEFM - International Conference on Software Engineering and Formal Methods","SEFM","B1"
"SeGAH - International Conference on Serious Games and Applications for Health","SEGAH","B3"
"SEKE - International Conference on Software Engineering and Knowledge Engineering","SEKE","B1"
"SEM - Joint Conference on Lexical and Computational Semantics","SEM","B4"
"SEMAPRO - IARIA International Conference on Advances in Semantic Processing","SEMAPROIARIA","B5"
"SemEval - International Workshop on Semantic Evaluation","SEMEVAL","B5"
"SEMISH - Seminário Integrado de Software e Hardware","SEMISH","B4"
"SENSORNETS - International Conference on Sensor Networks","SENSORNETS","B3"
"SENSORS - IEEE Sensors","SENSORS","B3"
"SERP - International Conference on Software Engineering Research and Practice","SERPWC","B5"
"SERVICES - IEEE World Congress on Services","SERVICES","A2"
"SESCPS - International Workshop on Software Engineering for Smart Cyber-Physical Systems","SESCPS","B4"
"SESENA - International Workshop on Software Engineering for Sensor Network Applications","SESENA","B5"
"SESoS - International Workshop on Software Engineering for Systems-of-Systems","SESoS","B4"
"SET - Software Engineering Track","SET","B4"
"SHAPES - Interdisciplinary Worshop The Shape of Things","SHAPES","B4"
"SIBGRAPI - Conference on Graphics, Patterns and Images","SIBGRAPI","B1"
"SIGCOMM - ACM SIGCOMM Conference","SIGCOMM","A1"
"SIGCSE - ACM Technical Symposium on Computer Science Education","SIGCSE","A1"
"SIGDOC - ACM International Conference on Design of Communication","SIGDOC","B2"
"TLCA - International Conference on Typed Lambda Calculi and Applications","TLCA","B3"
"SIGGRAPH - International Conference and Exibition on Computer Graphics and Interactive Techniques","SIGGRAPH","A2"
"SIGGRAPH-Asia - Conference on Computer Graphics and Interactive Techniques","SIGGRAPH-Asia","B5"
"SIGIR - International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR","A1"
"SIGMOD - ACM Conference on Management Data","SIGMOD","A1"
"SIIE - Simpósio Internacional de Informática Educatica","SIIE","B3"
"SIMULTECH - International Conference on Simulation and Modeling Methodologies, Technologies and Applications","SIMULTECH","B2"
"SIMUTools - International Conference on Simulation Tools and Techniques","SIMUTOOLS","B1"
"SISAP - International Conference on Similarity Search and Applications","SISAP","B2"
"SIYSTOR - ACM International on Systems and Storage Conference","SIYSTOR","B2"
"SLISW - Simposio Latinoamericano de Ingeniería de Software","SLISW","B5"
"SLT - Workshop on Spoken Language Technology","SLT","A2"
"SMARTGREENS - International Conference on Smart Grids and Green ICT Systems","SMARTGREENS","B3"
"SmartGridComm - IEEE International Conference on Smart Grid Communications","SMARTGRIDCOMM","B1"
"SMC - IEEE International Conference on Systems, Man and Cybernetics","SMC","A2"
"SMC - Sound and Music Computing Conference","SMusC","B5"
"SNAA - Workshop on Social Network Analysis in Applications","SNAA","B4"
"SOC - International Symposium on System-on-Chip","SOC","B3"
"SOCC - IEEE International System-on-Chip Conference","SOCC","B2"
"SocialCom - International Conference on Social Computing","SOCIALCOM","A1"
"SOCIALEDU - International Workshop on Social Computing in Digital Education","SOCIALEDU","B4"
"SocInfo - International Conference on Social Informatics","SOCINFO","B1"
"SOCM - International Workshop on the Theory and Practice of Social Machines","SOCM","B4"
"SC - International Conference on Software Composition","SOCO","B4"
"SoCS - International Symposium on Combinatorial Search","SOCS","B1"
"SODA - ACM-SIAM Symposium on Discrete Algorithms","SODA","A1"
"SOFSEM - International Conference on Current Trends in Theory and Practice of Computer Science","SOFSEM","B1"
"SoftCOM - International Conference on Software, Telecommunications and Computer Networks","SOFTCOM","B1"
"SOFTENG - IARIA International Conference on Advances and Trends in Software Engineering","SOFTENG-IARIA","B5"
"SORT - IEEE Workshop on Self-Organizing Real-Time Systems","SORT","B4"
"SOSE - IEEE International Symposium on Service-Oriented System Engineering","SOSE","B1"
"SPA - Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference","SPA","B3"
"SPACE - International Conference on Security, Privacy, and Applied Cryptography Engineering","SPACE","B3"
"SPECTS - International Symposium on Performance Evaluation of Computer and Telecommunications Systems","SPECTS","B5"
"SPIN - International SPIN symposium on Model Checking of Software","SPIN","B2"
"SPIRE - International Symposium on String Processing and Information Retrieval","SPIRE","B1"
"SPLC - International Software Product Line Conference: New Directions in Systems and Software Product Line Engineering","SPLC","A1"
"SRDS - IEEE Symposium on Reliable Distributed Systems","SRDS","B1"
"SSBSE - International Symposium on Search Based Software Engineering","SSBSE","B1"
"SSC - Social Simulation Conference","SSC","B5"
"SSDBM - International Conference on Scientific and Statistical Database Management","SSDBM","B1"
"SSIAI - Southwest Symposium on Image Analysis and Interpretation","SSIAI","B3"
"SSPR - International Workshop on Structural and Syntactic Pattern Recognition","SSPR","B2"
"SSTD - International Symposium on Spatial and Temporal Databases","SSTD","B1"
"STAG - Eurographics Italian Chapter Conference","STAG","B3"
"STIL - Brazilian Symposium in Information and Human Language Technology","STIL","B3"
"SugarLoafPLop - Latin American Conference on Pattern Languages of Programming","SUGARLOAFPLOP","B4"
"SUM - International Conference on Scalable Uncertainty Management","SUM","B1"
"SummerSim - Summer Simulation Multi-conference","SUMMERSIM","B4"
"SVR - Symposium on Virtual and Augmented Reality","SVR","B2"
"SWEET - Workshop on Scalable Workflow Execution Engines and Technologies","SWEET","B4"
"SWWS - International Conference on Semantic Web and Web Services","SWWSWC","B5"
"SYSCON - IEEE International Systems Conference","SYSCON","B1"
"SYSTOL - Conference on Control and Fault-Tolerant Systems","SYSTOL","B2"
"Scrowd - Workshop de Sistemas de Crowdsourcing","Scrowd","B5"
"SeCoGIS - International Workshop on Semantic and Conceptual Issues in Geographic Information Systems","SeCoGis","B4"
"SenSys - ACM Conference on Embedded Network Sensor Systems","SenSys","A1"
"SmartObjects - Workshop on Interacting with Smart Objects","SmartObjects","B4"
"SoWeMi - International Workshop on Mining the Social Web","SoWeMi","B5"
"SustainIT - Conference on Sustainable Internet and ICT for Sustainability","SustainIT","B3"
"T&D - IEEE/PES Transmission and Distribution Conference and Exposition","T&D","B3"
"T&DLA - IEEE PES Transmission & Distribution Conference and Exposition Latin America","T&DLA","B4"
"TABLEAUX - International Conference on Automated Reasoning with Analytic Tableaux and Related Methods","TABLEAUX","B2"
"ITS - International Conference on Interactive Tabletops and Surfaces","TABLETOPS","A2"
"TAP - International Conference on Tests and Proofs","TAP","B2"
"TAROS - Conference Towards Autonomous Robotics Systems","TAROS","B2"
"TEI - International Conference on Tangible, Embedded and Embodied Interaction","TEI","A2"
"TPDL - International Conference on Theory and Practice of Digital Libraries","TPDL","B1"
"TREC - Text Retrieval Conference","TREC","A2"
"TrustCom - International Conference on Trust, Security and Privacy in Computing and Communications","TRUSTCOM","A2"
"TSD - International Conference on Text, Speech and Dialogue","TSD","B1"
"TVX - International Conference on Interactive Experiences for Television and Online Video","TVX","B3"
"TaPP - International Workshop on Theory and Practice of Provenance","TaPP","B5"
"ToRPorEsp - Workshop on Tools and Resources for Automatically Processing Portuguese and Spanish","ToRPorEsp","B5"
"UAHCI - International Conference Universal Access in Human-Computer Interaction","UAHCI","B2"
"UAI - Conference on Uncertainty in Artificial Intelligence","UAI","A1"
"UBICOMM - IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies","UBICOMM-IARIA","B5"
"UCAMI - International Conference on Ubiquitous Computing and Ambient Intelligence","UCAMI","B2"
"UCC - IEEE/ACM International Conference on Utility and Cloud Computing","UCC","A2"
"UCHPC - Workshop on UnConventional High Performance Computing","UCHPC","B4"
"UIC - IEEE International Conference on Ubiquitous Intelligence and Computing","UIC","B2"
"UIST - User Interface Software Technology Symposium","UIST","A1"
"UKSim - International Conference on Computer Modelling and Simulation","UKSIM","B1"
"UMAP - International Conference on User Modeling, Adaptation and Personalization","UMAP","A2"
"UNET - International Symposium on Ubiquitous Networking","UNET","B5"
"UNIF - International Workshop on Unification","UNIF","B4"
"URSW - International Workshop on Uncertainty Reasoning for the Semantic Web","URSW","B4"
"UbiComp - ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp","A1"
"UbiSafe - IEEE International Symposium on UbiSafe Computing","UbiSafe","B4"
"VaMoS - International Workshop on Variability Modelling of Software-intensive Systems","VAMOS","A2"
"VAMR - International Conference on Virtual, Augmented and Mixed Reality","VAMR","B2"
"VAST - IEEE Conference on Visual Analytics Science and Technology","VAST","A2"
"VCIP - IEEE International Conference on Visual Communications and Image Processing","VCIP","B1"
"VECPAR - International Meeting on High Performance Computing for Computational Science","VECPAR","B2"
"VEM - Workshop on Software Visualization, Evolution and Maintenance","VEM","B5"
"VISAPP - International Conference on Computer Vision Theory and Applications","VISAPP","B1"
"VISSOFT - IEEE Working Conference on Software Visualization","VISSOFT","B1"
"VLHCC - IEEE Symposium on Visual Languages and Human-Centric Computing","VLHCC","B1"
"VLSI-SOC - International Conference on Very Large Scale Integration","VLSI","B1"
"VLSID - International Conference on VLSI Design","VLSID","B1"
"VMV - Vision, Modeling & Visualization","VMV","B2"
"VNC - IEEE Vehicular Networking Conference","VNC","A2"
"VNS - International Conference on Variable Neighborhood Search","VNS","B3"
"VPQM - International Workshop on Video Processing and Quality Metrics for Consumer Electronics","VPQM","B5"
"VR - IEEE Virtual Reality Conference","VR","B1"
"VRCIA - International Conference on Virtual Reality Continuum and its Applications","VRCAI","B1"
"VRST - ACM Symposium on Virtual Reality Software and Technology","VRST","B2"
"VTC - Vehicular Technology Conference","VTC","B1"
"VTS - IEEE VLSI Test Symposium","VTS","B1"
"AAAIW - Workshop on Symbiotic Cognitive Systems","W","B4"
"W2GIS - International Symposium Web and Wireless Geographical Information Systems","W2GIS","B2"
"W4A - Conference on Web Accessibility","W4A","B1"
"WABI - Workshop on Algorithms in Bioinformatics","WABI","B1"
"WACV - Winter Conference on Applications of Computer Vision","WACV","A1"
"WALCOM - International Workshop on Algorithms and Computation","WALCOM","B2"
"WAMCA - Workshop on Applications for Multi-Core Architectures","WAMCA","B4"
"WAOA - Workshop on Approximation and Online Algorithms","WAOA","B2"
"WAPCO - Workshop on Approximate Computing","WAPCO","B5"
"WCAMA - Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais","WCAMA","B5"
"WCAS - Workshop on Circuits and Systems Design","WCAS","B5"
"WCCI - IEEE World Congress on Computational Intelligence","WCCI","B3"
"WCGE - Workshop de Computação Aplicada ao Governo Eletrônico","WCGE","B5"
"WCNC - IEEE Wireless Communications and Networking Conference","WCNC","B1"
"WCRE - Working Conference on Reverse Engineering","WCRE","A2"
"WD - Wireless Days Conference","WD","B1"
"WDES - Workshop de Desenvolvimento Distribuído de Software","WDES","B5"
"WEAC - Workshop sobre Educação em Arquitetura de Computadores","WEAC","B5"
"WEB3D - International Conference on 3D Web Technology","WEB3D","B1"
"WEBIST - International Conference on Web Information Systems and Technologies","WEBIST","B2"
"WebMedia - Brazilian Symposium on Multimedia and the Web","WEBMEDIA","B2"
"WebSci - Web Science Conference","WEBSCI","A2"
"WEI - Workshop sobre Educação em Computação","WEI","B3"
"WEIHC - Workshop sobre Ensino de IHC","WEIHC","B5"
"WER - Workshop on Requirements Engineering","WER","B4"
"WESB - Workshop de Engenharia de Software Baseada em Busca","WESB","B5"
"WETICE - IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises","WETICE","B1"
"WETSOM - International Workshop on Emerging Trends in Software Metrics","WETSOM","B4"
"WF-IoT - IEEE World Forum on Internet of Things","WF-IoT","B3"
"WFA - Workshop de Ferramentas e Aplicações","WFA","B5"
"WFCS - IEEE World Conference on Factory Communication Systems","WFCS","B1"
"WG - International Workshop on Graph-Theoretic Concepts in Computer Science","WG","B1"
"WI-IAT - IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology","WI-IAT","B1"
"WICSA - Working IEEE/IFIP Conference on Software Architecture","WICSA","B1"
"WIE - Workshop de Informática na Escola","WIE","B3"
"WIFS - IEEE Workshop on Information Forensics and Security","WIFS","B1"
"WIM - Workshop de Informática Médica","WIM","B4"
"WiMob - IEEE International Conference on Wireless and Mobile Computing, Networking and Communications","WIMOB","A2"
"WISE - International Conference on Web Information Systems Engineering","WISE","B1"
"WISM - Workshop on Web Information Systems Modeling","WISM","B5"
"WMNC - Joint IFIP Wireless and Mobile Networking Conference","WMNC","B1"
"WMOD - Workshop on Software Modularity","WMOD","B5"
"WNUT - Workshop on Noisy User-generated Text","WNUT","B4"
"WOCC - Wireless and Optical Communications Conference","WOCC","B2"
"WOCCES - Workshop de Comunicação em Sistemas Embarcados Crítico","WOCCES","B5"
"WoLLIC - International Workshop on Logic, Language, Information and Computation","WOLLIC","B1"
"WORKS - Workshop on Workflows in Support of Large-Scale Science","WORKS","B4"
"WoSAR - International Workshop on Software Aging and Rejuvenation","WOSAR","B4"
"WOSP - International Workshop on Mining Scientific Publications","WOSP","B4"
"WoWMoM - International Symposium on a World of Wireless, Mobile and Multimedia Networks","WOWMOM","A2"
